md5,type_description,vhash,creation_date,last_modification_date,type_tag,size,suggested_threat_label,meaningful_name,sha256,type_extension,last_analysis_date,first_submission_date,sha1,imphash,remark
00417653f6245dd39f114e4ad093b43f,Win32 EXE,016056655d1c0510d043z8003d7z47z62z3ffz,1544912681,1627041176,peexe,1348507,trojan.graftor,TProRecorderInstaller.exe,aadc7e960d67cd37ef224c77117c9be140300c6d638b16d649dadee22e03b94d,exe,1626410733,1626368987,2ea71961de2ecf6f27066dd8b7a4140f95cc04ae,3abe302b6d9a1256e6a915429af4ffd2,
4E4B014604377B609ADD80E7F612ABE1,,,,,,,,,,,,,,,Not found in VirusTotal
7BAC80E6859430CA1F26F935852D01F9,,,,,,,,,,,,,,,Not found in VirusTotal
AEBF043A39D212BBD0FD608C972C5181,,,,,,,,,,,,,,,Not found in VirusTotal
